id|imageFile|creationDate|locationIP|browserUsed|language|content|length
1236950581248||2011-08-17T06:05:40.595+0000|49.246.218.237|Firefox|uz|About Rupert Murdoch, t newer electronic publishing technoAbout George Frideric Handel,  concertos. Handel was born in 1685,About Kurt Vonne|140
3||2010-02-14T20:30:21.451+0000|119.235.7.103|Firefox|uz|About Rupert Murdoch, alised US citizen iAbout Napoleon, tinuation of the waAbout Ferdinand II of Aragon, (1|108
2061584302084||2012-07-20T03:48:53.147+0000|119.235.7.103|Firefox|uz|About Rupert Murdoch, 50s and '60s, he acquAbout George Frideric Handel, man-British Baroque cAbout Jane Austen, estimate o|123
1649267441688||2012-02-27T03:45:05.655+0000|119.235.7.103|Firefox|uz|About Rupert Murdoch, w York in 1974 to expand into the About Oscar Wilde, bine them with larger social themeAbout Tina Turner, wing her divorce from Ike Turner, About William Faulkner, all County. Fa|200
1786706395168||2012-03-21T16:21:11.935+0000|119.235.7.103|Firefox|uz|About Rupert Murdoch, to the United Kingdom in 1969, About Genghis Khan,  that his earlier image as an eAbout Ulysses S.|120
412316860456||2010-07-06T20:12:13.944+0000|119.235.7.103|Firefox|uz|About Rory Gallagher, 1995, was an Irish blues-rock multi-instrumentalist, songwriter, and bandleaAbout Call the Man, ased on June 23, 1997 outside the|151
962072674360||2011-04-14T05:05:23.472+0000|119.235.7.103|Firefox|uz|About Jawaharlal Nehru, er 1889 – 27 May 196About Gil Kane, ty to depict drug abAbout Dancing on My Own,  and Be Mi|115
1374389534791|photo1374389534791.jpg|2011-10-05T14:38:36.019+0000|119.235.7.103|Firefox|||0
1374389534792|photo1374389534792.jpg|2011-10-05T14:38:37.019+0000|119.235.7.103|Firefox|||0
1374389534793|photo1374389534793.jpg|2011-10-05T14:38:38.019+0000|119.235.7.103|Firefox|||0
1374389534794|photo1374389534794.jpg|2011-10-05T14:38:39.019+0000|119.235.7.103|Firefox|||0
1374389534795|photo1374389534795.jpg|2011-10-05T14:38:40.019+0000|119.235.7.103|Firefox|||0
1374389534796|photo1374389534796.jpg|2011-10-05T14:38:41.019+0000|119.235.7.103|Firefox|||0
1374389534797|photo1374389534797.jpg|2011-10-05T14:38:42.019+0000|119.235.7.103|Firefox|||0
1374389534798|photo1374389534798.jpg|2011-10-05T14:38:43.019+0000|119.235.7.103|Firefox|||0
1374389534799|photo1374389534799.jpg|2011-10-05T14:38:44.019+0000|119.235.7.103|Firefox|||0
1374389534800|photo1374389534800.jpg|2011-10-05T14:38:45.019+0000|119.235.7.103|Firefox|||0
1374389534801|photo1374389534801.jpg|2011-10-05T14:38:46.019+0000|119.235.7.103|Firefox|||0
1374389534802|photo1374389534802.jpg|2011-10-05T14:38:47.019+0000|119.235.7.103|Firefox|||0
